X,Y,ConsentNo,ConsentType,ConsentSource,ConsentStatus,PermitType,FeatureType,RMASection,ActivityText,Location,fmDate,toDate,GIS_TerritorialAuthority,GIS_Catchment,GIS_CWMSZone,GIS_Runanga,NZTMX,NZTMY
1562602.5038,5184886.1761,CRC 961923.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Christchurch International Airport, Memorial Avenue, HAREWOOD",1997-07-17,2032-05-21,Christchurch City,6820900 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1562602,5184886
1562602.5038,5184886.1761,CRC 961923.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Christchurch International Airport, Memorial Avenue, HAREWOOD",1997-07-17,2032-05-21,Christchurch City,6820900 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1562602,5184886
1562602.5038,5184886.1761,CRC 961923.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Christchurch International Airport, Memorial Avenue, HAREWOOD",1997-07-17,2032-05-21,Christchurch City,6820900 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1562602,5184886
1487483.6576,5119804.3038,CRC 150202.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Isleworth Road, HINDS",2014-06-09,2044-10-30,Ashburton District,6920000 - Coldstream Drainage Area,Ashburton,Arowhenua,1487483,5119804
1583725.6088,5263255.5162,CRC 140464.00,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Long Plantation Road, CULVERDEN",2013-09-06,2031-08-21,Hurunui District,6510700 - Pahau River,Hurunui - Waiau,Kaikoura,1583725,5263255
1564731.7165,5184886.2262,CRC 190163.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"558 Wairakei Road, CHRISTCHURCH",2018-07-06,2031-06-05,Christchurch City,6668800 - Wairarapa Stream,Christchurch - West Melton,Tuahuriri,1564731,5184886
1496786.6621,5141691.946,CRC 31635.20,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Rawles Crossing Road, GREENSTREET",2012-07-31,2038-07-10,Ashburton District,6880300 - Ashburton River South Branch,Ashburton,Arowhenua,1496786,5141691
1572998.7299,5178788.7836,CRC 970824.10,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Wood Waste,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"374 Ferry Road, CHRISTCHURCH",1997-11-26,2031-11-20,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1572998,5178788
1574338.0186,5186125.9485,CRC 60603.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"10 Pohutukawa Crescent, TUMARA PARK",2005-08-30,2040-08-26,Christchurch City,6640020 - North Waimari Beach,Christchurch - West Melton,Tuahuriri,1574338,5186125
1571499.2913,5179688.3831,CRC 971293.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"289-307 Tuam Street, CHRISTCHURCH",1997-01-17,2032-01-15,Christchurch City,6668000 - Avon River,Christchurch - West Melton,Tuahuriri,1571499,5179688
1570699.6078,5179588.3956,CRC 971211.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"186 Tuam Street, CHRISTCHURCH",1996-12-20,2031-12-17,Christchurch City,6668000 - Avon River,Christchurch - West Melton,Tuahuriri,1570699,5179588
1481680.3162,5138059.5981,CRC 201007.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Maronan Valetta Road, ASHBURTON",2019-08-26,2047-07-04,Ashburton District,6910000 - Hinds River,Ashburton,Arowhenua,1481680,5138059
1570309.8332,5177589.1569,CRC 52776.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"50 Penrith Avenue, SOMERFIELD",2005-04-05,2040-04-05,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1570309,5177589
1575227.8022,5180098.3336,CRC 62469.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Global Consent, ENVIRONMENT CANTERBURY",2006-02-20,2041-02-15,Christchurch City,6665000 - Linwood Ave Canal,Christchurch - West Melton,Tuahuriri,1575227,5180098
1362446.3464,5068699.6109,CRC 992376.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Roading/Construction,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Quailburn Road, OMARAMA",1999-06-21,2034-06-17,Waitaki District,7115000 - Ahuriri River,Upper Waitaki,Moeraki,1362446,5068699
1566121.4094,5178668.5846,CRC 981777.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Wood Waste,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Nazareth Avenue, CHRISTCHURCH",1998-06-26,2033-06-24,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1566121,5178668
1575927.5438,5179328.6595,CRC 31605.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"10 Wickham Street, BROMLEY",2003-05-22,2038-05-16,Christchurch City,6666000 - Charlesworth Drain,Christchurch - West Melton,Tuahuriri,1575927,5179328
1563112.4266,5181617.383,CRC 992609.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Russley School, Cutts Road, CHRISTCHURCH",1999-06-29,2034-06-28,Christchurch City,6668000 - Avon River,Christchurch - West Melton,Tuahuriri,1563112,5181617
1571689.2538,5178598.814,CRC 21375.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"50 Mowberry Street, WALTHAM",2003-09-03,2038-09-03,Christchurch City,6664400 - Jacksons Creek Eastern Outfall,Christchurch - West Melton,Tuahuriri,1571689,5178598
1547947.3,5197761.5532,CRC 122093.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"2252 South Eyre Road, WEST EYRETON",2012-05-22,2047-05-22,Waimakariri District,6650200 - Waimakariri Water Race,Waimakariri,Tuahuriri,1547947,5197761
